Column1,Column2,Column 3,Column 4
Report Date,報告日,module,Magento_Paypal
Report Groups,レポートグループ,,
Reports,レポート,module,Magento_Paypal
Repository should return instance of %s,リポジトリは %s のインスタンスを返す必要があります,,
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.",Magentoの最高位パートナー関与として、Magentoプラチナパートナーは小売業やブランドの事業が成長するように鍵となる商品とサービスを設計する先駆者であり革新者として名を馳せてきました。MagentoはプラチナレベルをMagentoコマースプラットホームを改善し拡張するためにコマースフィーチャー、機能、ツールまたバックエンドのシステムとオペレーションを統合することにコミットすることに信頼あるパートナーのために確保しています。,,
Request Courier,希望配送業者,module,Magento_Fedex
Request Details,要求詳細,,
Request Information,要求情報,,
Request Path,リダイレクトパス,module,Magento_UrlRewrite
Request Path for Specified Store,特定の店舗へのリクエストパス,module,Magento_UrlRewrite
Request Qty,要求個数,,
Request does not match any route.,リクエストはどのルートにもマッチしません。,module,Magento_Webapi
Request token is not associated with the specified consumer,要求トークンは指定された会員と関連付けされていません,module,Magento_Integration
Requested,リクエスト済,,
Requested Qty,要求済個数,,
Requested Quantity,リクエスト済個数,,
"Requested column ""%1"" cannot be resolved","要求された列 ""%1"" を解決できません",module,Magento_OfflineShipping
"Requested invalid store ""%1""","不正なストア ""%1""が注文されました",module,Magento_Email
Requested payment method does not match with order.,リクエストされたお支払い方法が注文と一致しません。,module,Magento_Paypal
Requested product doesn't exist,要求された商品は存在しません,module,Magento_Catalog
"Requested service is not available: ""%1""","要求されたサービスは使えません: ""%1""",module,Magento_Webapi
Requested store is inactive,要求されたストアは無効です,module,Magento_Store
Requested system report has no data to display.,要求されたシステムレポートに表示するデータがありません。,,
Requested system report has no data to output.,要求されたシステムレポートに出力するデータがありません。,,
Requested system report no longer exists.,要求されたシステムレポートは存在しません。,,
Require CVV Entry,CVVエントリー必須,module,Magento_Paypal
Require Customer's Billing Address,会員の支払住所必須,module,Magento_Braintree
Require Emails Confirmation,メールによる確認を行う,module,Magento_Customer
Required,必須,module,Magento_Bundle
Required Fields,必須フィールド,,
Required PayPal Settings,必須PayPal設定,module,Magento_Paypal
Required for negotiated rates; 6-character UPS,ネゴシエイトレートに必須; 6キャラクター UPS,module,Magento_Ups
Required to display a banner,バナー表示必須,module,Magento_Paypal
Reset,リセット,module,Magento_Backend
Reset Filter,リセット,module,Magento_Backend
Reset My Password,パスワードをリセットする,module,Magento_Customer
Reset Password,パスワード再発行,module,Magento_Customer
Reset Password Template,リセットパスワードテンプレート,module,Magento_Customer
Reset a Password,パスワードリセット,module,Magento_User
Reset to Default,デフォルトにリセット,module,Magento_Backend
Reset your %store_name password,%store_name passwordパスワードをリセットする,module,Magento_Customer
Residential,宅配,module,Magento_Ups
Residential Delivery,宅配,module,Magento_Fedex
Resolution,解決方法,,
Resource Access,リソースアクセス,module,Magento_Integration
Resources,リソース,module,Magento_Integration
Response Code,レスポンスコード,,
Response info is not exist.,返答情報が存在しません,module,Magento_Shipping
Response is in the wrong format,回答のフォーマットが間違っています,module,Magento_Dhl
Restore from Archive,アーカイブから復元,,
Restriction Mode,制限モード,,
Result,結果,,
Result Limit,結果リミット,,
Results,結果,module,Magento_CatalogSearch
"Results of DDL queries, such as describing tables or indexes",DDL問合せの結果（表または索引の記述など）,module,Magento_Store
Resume,再開,module,Magento_Newsletter
Retail Ground,小売地,module,Magento_Usps
Retrieve Password,パスワード再発行,module,Magento_User
Retry Messages In Progress After,進行中のメッセージの再試行後,,
Return,返品,module,Magento_Usps
Return #,返品 #,,
Return #%1,返品 #%1,,
Return #%1 - %2,返品 #%1 - %2,,
Return Address,返品住所,,
Return Address:,返品住所:,,
Return Confirmation,返品確認,,
Return HTML Version,HTMLバージョン,module,Magento_Email
Return Html Version,HTMLバージョンに戻る,module,Magento_Email
Return Information,返品情報,,
Return Item Attribute,返品商品属性,,
Return Items,返品商品,,
Return Items Information,返品商品情報,,
Return Partially Received,返品一部受付,,
Return Reason,返品理由,,
Return Received,返品拒否,,
Return Status,返品ステータス,,
Return Totals,返品合計,,
Return items,返品商品,,
Return to Order Management,注文管理に戻る,,
Return to Stock,在庫へ戻す,module,Magento_Sales
Return-Path Email,Return-Pathメールアドレス,module,Magento_Backend
Returned,返品済,module,Magento_Sales
Returned Qty,返品済数,,
Returns,返品,,
Returns Attributes,返品属性,,
Revenue,収入,module,Magento_Backend
Reversal,破棄,module,Magento_Paypal
Reversal of General Account Hold,一般アカウント保留の破棄,module,Magento_Paypal
Reversal of Points Usage,ポイント使用の破棄,module,Magento_Paypal
Reversal of an adjustment.,調整費の破棄,module,Magento_Paypal
Reversal of hold for Dispute Investigation,異議申し立ての調査のための保留の破棄,module,Magento_Paypal
Reverted,回復済,,
Reverted from incomplete order #%1,不完全な注文から復帰しました #%1,,
Review,レビュー,module,Magento_Reports
Review & Payments,お支払い方法とご注文の確認,module,Magento_Checkout
Review Details,レビュー詳細,module,Magento_Review
Review Order,注文の確認,module,Magento_Multishipping
Review Order - %1,注文確認 - %1,module,Magento_Multishipping
Review Submission,レビュー投稿,,
Review by,レビューした人,module,Magento_Review
Review: %1 <br/>,レビュー: %1 <br/>,module,Magento_Review
Reviews,レビュー,module,Magento_Reports
Reviews %1,レビュー %1,module,Magento_Review
Reviews for %1,%1 のレビュー,module,Magento_Reports
Reward Exchange Rate Information,ポイント換算レート情報,,
Reward Exchange Rates,ポイント換算レート,,
Reward Points,ポイント,,
Reward Points Balance,ポイント残高,,
Reward Points Balance Updated at %store_name,ポイント残高 %store_name で更新,,
Reward Points Cap,ポイントキャップ,,
Reward Points Expire in (days),ポイント有効期限 (日),,
Reward Points Expiry Calculation,ポイント有効期限計算方法,,
Reward Points Expiry Warning Email,ポイント有効期限通知メール,,
Reward Points Expiry Warning at %store_name,ポイント %store_name でのポイント期限切れの警告,,
Reward Points History,ポイント履歴,,
Reward Points Notifications,ポイント通知,,
Reward Points Rates,ポイント換算レート,,
Reward Points Threshold,ポイントの閾値,,
Reward Points refunded to customer,会員に返金されたポイント,,
Reward Voucher Redemption,報酬バウチャー破棄,module,Magento_Paypal
Reward points,ポイント,,
Reward points balance Information,ポイント残高情報,,
Reward points will not be used in this order.,ポイントはこのご注文では利用されません。,,
Rewarded Reviews Submission Quantity Limit,レビュー投稿によるポイント加算上限,,
Rewards Points Balance Redemption Threshold,ポイント残高の償還のしきい値,,
Risk Factor,リスクファクター,,
Risk Factor Q,リスクファクター Q,,
Risk Factor V,リスクファクター V,,
Risk Score,リスクスコア,,
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations",危険な注文。 取引、会員、および加盟店の情報は、複数の高リスク相関を示しています,,
Rma Item Eav Attributes,Rma商品Eav属性,,
Role,権限,module,Magento_Catalog
Role Info,権限情報,module,Magento_User
Role Information,権限情報,module,Magento_User
Role Name,権限名,module,Magento_User
Role Resources,権限リソース,module,Magento_User
Role Scopes,権限範囲,,
Role Users,権限ユーザー,module,Magento_User
Roles,権限,module,Magento_User
Roles Resources,権限リソース,module,Magento_User
Rollback,ロールバック,module,Magento_Backup
Root,ルート,module,Magento_Catalog
Root Category,ルートカテゴリ,module,Magento_Backend
Rotation Mode,ローテーションモード,,
Rotation Mode for Products in Cross-Sell Product List,クロスセル商品リストのローテーションモード,,
Rotation Mode for Products in Related Product List,関連商品リストのローテーションモード,,
Rotation Mode for Products in Upsell Product List,アップセル商品リストのローテーションモード,,
Row Subtotal,行合計,module,Magento_Sales
Row Total,行合計,module,Magento_Bundle
Row total in cart,カートの中の行数,module,Magento_SalesRule
Rss Config,RSS設定,module,Magento_Rss
Rule,ルール,module,Magento_CatalogRule
Rule Description for All Store Views,すべての店舗ビューのルールの説明,,
Rule Information,ルール情報,module,Magento_CatalogRule
Rule Name,ルール名,module,Magento_SalesRule
Rule Title for All Store Views,すべての店舗ビューのルールタイトル,,
Rule is not defined,クーポンが未定義です,module,Magento_SalesRule
Rule price,値引き,module,Magento_CatalogRule
Rule-Based Only,ルールベースのみ,,
Rule-Based Product Relations,ルールベースでの商品関連付け,,
Rule-based Positions,ルールベースの表示位置,,
Rule-based Settings,ルールベース設定,,
Run,実行,,
Run Class,クラスを実行する,,
Run Method,メソッドを実行する,,
Run Now,今すぐ実行,,
RuntimeException,RuntimeException,module,Magento_Cms
SEO & Search,SEO・検索,module,Magento_Backend
SFTP Credentials,SFTP証明書,module,Magento_Paypal
SKU,商品番号,module,Magento_Bundle
SKU for product %1 has been changed to %2.,商品%1 のSKUは%2に変更されました。,module,Magento_Catalog
SKU length should be %1 characters maximum.,SKUの値の長さは最大 %1 キャラクターでなければなりません。,module,Magento_Catalog
SKU number,SKU番号,,
SKU: Ascending,SKU: 上昇,,
SKU: Descending,SKU: 下降,,
SOAP Settings,SOAP設定,module,Magento_Webapi
SOAP extension is not loaded.,SOAPエクステンションはロードされていません。,module,Magento_Webapi
Sale,セール,module,Magento_Braintree
Sale Ends In,セール終了日,,
Sales,セールス,module,Magento_CheckoutAgreements
Sales Amount,売上額,,
Sales Archive,セールスアーカイブ,,
Sales Credit Memos,販売クレジットメモ,,
Sales Discount,値引,module,Magento_Reports
Sales Emails,セールスメール,module,Magento_Sales
Sales Emails Section,販売メールセクション,module,Magento_Sales
Sales Invoices,請求書,,
Sales Items,販売商品,module,Magento_Reports
Sales Order Status,注文ステータス,,
Sales Orders,注文,,
Sales Report,セールスレポート,module,Magento_Reports
Sales Representative,販売担当者,module,Magento_Backend
Sales Rule,セールスルール,,
Sales Section,販売セクション,module,Magento_Sales
Sales Shipments,配送,,
Sales Shipping,送料,module,Magento_Reports
Sales Statistics,売上情報,module,Magento_Customer
Sales Subtotal,売上サブトータル,module,Magento_Reports
Sales Tax,消費税,module,Magento_Reports
Sales Total,合計,module,Magento_Reports
Same As Billing Address,請求先と同じ,module,Magento_Sales
Same as Inviter,招待者と同じ,,
Same day,同日,module,Magento_Dhl
Sample,サンプル,module,Magento_Downloadable
Sample URL must have valid format.,サンプルURLは有効なフォーマットでなければなりません,module,Magento_Downloadable
Sample file not provided,サンプルファイルが提供されていない,module,Magento_Downloadable
Samples,サンプル,module,Magento_Downloadable
Sandbox API Key,サンドボックスAPIキー,,
Sandbox API Password,サンドボックスAPIのパスワード,,
Sandbox Client-side Encryption Key,サンドボックスクライアント側の暗号化キー,,
Sandbox Mode,保護モード,module,Magento_Fedex
Save,保存,lib,lib/web/mage/translate-inline-vde.js
Save & Activate,保存 & アクティベーション,module,Magento_Integration
Save & Close,保存 & 終了,module,Magento_Catalog
Save & Duplicate,保存 & 複製,module,Magento_Catalog
Save & Edit,保存 & 編集,module,Magento_Catalog
Save & Generate,保存して生成,module,Magento_Sitemap
Save & New,保存 & 新規作成,module,Magento_Catalog
Save & Send Email,保存してメール送信,,
Save Account,アカウントの保存,module,Magento_Backend
Save Address,住所を保存,module,Magento_Checkout
Save As,名前をつけて保存,module,Magento_Newsletter
Save Attribute,属性保存,module,Magento_Catalog
Save Cache Settings,キャッシュ設定を保存,module,Magento_Backend
Save Condition,条件を保存,module,Magento_CheckoutAgreements
Save Config,設定を保存,module,Magento_Config
Save Configuration,設定を保存,module,Magento_Theme
Save Currency Rates,通貨レートの保存,module,Magento_CurrencySymbol
Save Currency Symbols,通貨記号を保存,module,Magento_CurrencySymbol
Save Customer,保存,module,Magento_Customer
Save Customer Group,保存,module,Magento_Customer
"Save Files, Days",ファイル保存日数,,
Save Gift Message,ギフトメッセージ,module,Magento_Sales
Save Invitation,招待を保存,,
Save Newsletter,メールマガジンの保存,module,Magento_Newsletter
Save Option,オプション保存,module,Magento_ConfigurableProduct
Save Order Address,注文住所を保存,module,Magento_Sales
Save Page,保存,module,Magento_Cms
Save Rate,レートの保存,module,Magento_Tax
Save Rating,評価の保存,module,Magento_Review
Save Review,レビューの保存,module,Magento_Review
Save Role,権限の保存,module,Magento_User
Save Rule,ルールの保存,module,Magento_Tax
Save Search,検索の保存,module,Magento_Search
Save Status,ステータスを保存,module,Magento_Sales
Save Status Assignment,ステータス設定の保存,module,Magento_Sales
Save Store,店舗を保存,module,Magento_Backend
Save Store View,ストアビューを保存,module,Magento_Backend
Save Subscription Settings,メール通知設定を保存する,,
Save Synonym Group,同義語グループ保存,module,Magento_Search
Save Template,テンプレートの保存,module,Magento_Email
Save User,ユーザーの保存,module,Magento_User
Save Web Site,ウェブサイトを保存,module,Magento_Backend
Save and Apply,保存と適用,module,Magento_CatalogRule
Save and Close,保存して閉じる,,
Save and Continue,保存して続ける,module,Magento_Theme
Save and Continue Edit,保存して編集を続ける,module,Magento_Catalog
Save and Next,保存して次に,module,Magento_Review
Save and Previous,保存して戻る,module,Magento_Review
Save and Resume,保存して続ける,module,Magento_Newsletter
Save as a New Update,新しい更新として保存,,
Save credit card information for future use.,将来の使用のためにクレジットカード情報を保存してください。,module,Magento_Paypal
Save file content,履歴ファイル内容,,
Save for later use.,後で使用するために保存してください。,module,Magento_Braintree
"Save history file content ""%1""","履歴ファイルの内容を保存する ""%1""",,
Save in New Attribute Set,新しい属性セットに保存,module,Magento_Catalog
Save in address book,アドレス帳に保存,module,Magento_Checkout
Schedule,スケジュール事前作成するスケジュール,module,Magento_Backend
Schedule Ahead for,スケジュールを事前作成する期間,module,Magento_Cron
Schedule Design Update,デザイン更新をスケジュールする,module,Magento_Catalog
Schedule Id,スケジュールID,,
Schedule New Update,新しい更新を予定する,,
Schedule Update From,更新をスケジュールする,module,Magento_Catalog
Scheduled At,予定時刻,,
Scheduled Backup Settings,定期バックアップ設定,module,Magento_Backup
Scheduled Changes,予定された変更,,
Scheduled Export,予定されたエクスポート,,
Scheduled Fetching,スケジュールされた入手,module,Magento_Paypal
Scheduled Import,予定されたインポート,,
Scheduled Import Settings,インポートスケジュール設定,module,Magento_Directory
Scheduled Import/Export,定期インポート/エクスポート,,
Scheduled Import/Export File History Cleaning,インポート/エクスポート履歴のクリーニングをスケジュールする,,
Scheduled Import/Export File History Cleanup Warnings,予定されたインポート/エクスポートファイル履歴のクリーンアップ警告,,
Scheduled Imports/Exports,定期インポート/エクスポート,,
Scope,スコープ,module,Magento_Catalog
Scope:,スコープ:,module,Magento_Theme
Scripts and Style Sheets,スクリプトとスタイル シート,module,Magento_Theme
Scroll,スクロール,,
Search,検索,module,Magento_Backend
Search All Products,すべての商品を検索,,
Search By,検索条件,,
Search Engine,検索エンジン,module,Magento_Search
Search Engine Optimisation,検索エンジンの最適化,module,Magento_Cms
Search Engine Optimization,検索エンジン最適化,module,Magento_Backend
Search Engine Submission Settings,検索エンジン提出設定,module,Magento_Sitemap
Search Index,検索インデックス,module,Magento_Backend
Search Information,検索情報,module,Magento_Search
Search Options,検索オプション,,
Search Query,検索クエリ,module,Magento_Search
Search Recommendations Count,検索レコメンデーション数,,
Search Results,検索結果,,
Search Settings,検索条件,module,Magento_CatalogSearch
Search String,検索文字列,module,Magento_Config
Search Suggestions Count,おすすめ検索数,,
Search Synonyms,検索キーワード,module,Magento_Search
Search Term,検索ワード,module,Magento_Search
Search Terms,検索ワード,module,Magento_Reports
Search Terms Report,検索タームレポート,module,Magento_Search
Search Weight,検索ウエイト,module,Magento_CatalogSearch
Search by keyword,キーワードで検索,module,Magento_Ui
Search entire store here...,ストア全体から検索....,module,Magento_Search
Search results for: '%1','%1' の検索結果,module,Magento_CatalogSearch
Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.,検索同義語は %1 検索エンジンでサポートされていません。 入力した同義語は使用されません。,module,Magento_Search
Searchable,検索可能,module,Magento_Catalog
Sec,秒,,
Secret Key,秘密鍵,,
Section,セクション,,
Secure Base Link URL,セキュア・ベースURL,module,Magento_Backend
Secure Base URL,セキュアベースURL,module,Magento_Backend
Secure Base URL for Static View Files,スタティックビューファイルのためのセキュア・ベースURL,module,Magento_Backend
Secure Base URL for User Media Files,ユーザーメディアファイルのためのセキュア・ベースURL,module,Magento_Backend
Secure Gateway URL,安全なGateway URL,module,Magento_Usps
Secureline,セキュアライン,module,Magento_Dhl
Security,セキュリティ,module,Magento_Backend
See All (,すべて見る(,module,Magento_AdminNotification
See Balance,残高をみる,,
See Details,詳細をご覧ください,module,Magento_Checkout
See order and shipping status,ご注文と配送の状況を見る,module,Magento_Customer
See our Shipping Policy,配送ポリシーをご覧ください。,module,Magento_Shipping
See price before order confirmation.,注文確定前に価格を表示する。,module,Magento_Checkout
See terms,規約を見る,module,Magento_Paypal
Segment,セグメント,,
Segment Customers matching error,セグメント会員のマッチングエラー,,
Segment Information,セグメント情報,,
Segment Name,セグメント名,,
Segments,セグメント,,
Select,選択,module,Magento_ConfigurableProduct
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","この属性を会員グリッドの列オプションのリストに追加するには、 ""はい"" を選択します。",,
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","""はい"" を選択してこの属性を商品グリッド内のカラムオプションのリストに追加。",module,Magento_Catalog
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","この属性を会員グリッドのフィルターオプションのリストに追加するには、 ""はい"" を選択します。",,
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","""はい"" を選択してこの属性を商品グリッド内のフィルターオプションのリストに追加。",module,Magento_Catalog
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","この属性を会員グリッド内の検索オプションのリストに追加するには、 ""はい"" を選択します。",,
Select Address,住所選択,module,Magento_Multishipping
Select Addresses,住所選択,module,Magento_Multishipping
Select All,全て選択,module,Magento_Backend
Select All on This Page,このページの全てを選択,module,Magento_Ui
Select Associated Product,関連付ける商品を選択,module,Magento_ConfigurableProduct
Select Attribute,属性の選択,module,Magento_Catalog
Select Attributes,属性選択,module,Magento_ConfigurableProduct
Select Block...,選択ブロック...,module,Magento_Cms
Select CSS File to Upload,アップロードするCSS Fileを選択してください,module,Magento_Theme
Select Category,カテゴリを選択,module,Magento_UrlRewrite
Select Category...,カテゴリ選択...,module,Magento_Catalog
Select Date,日付を選択,module,Magento_Reports
Select Email Template,メールテンプレートを選択,module,Magento_SendFriend
Select File to Import,インポートするファイルを選択,module,Magento_ImportExport
Select Items,商品を選択,,
Select JS Files to Upload,アップロードするJSファイルを選択してください,module,Magento_Theme
Select Media Database,メディアストレージを選択,module,Magento_MediaStorage
Select Page...,選択ページ...,module,Magento_Cms
Select Product,商品選択,module,Magento_Catalog
Select Product...,商品を選択...,module,Magento_Catalog
Select Range:,範囲を選択してください：,module,Magento_Backend
Select Rule...,ルールを選択...,,
Select Search Type,検索種別を選択,,
Select Shipping Method,配送方法を選択,module,Magento_Multishipping
Select Store,ストア選択,module,Magento_Store
Select Visible,表示中を選択,module,Magento_Backend
Select a new payment method,新しいお支払い方法を選択する,,
Select a page or node.,ページまたはノードを選択します。,,
Select a shipping address from your address book or enter a new address.,アドレス帳から住所を選択するか、新しい住所を入力してください。,,
Select all,全て選択,module,Magento_Backend
Select attribute,属性選択,module,Magento_Catalog
Select day of the month.,月の日を選択してください。,module,Magento_Reports
Select from existing customer addresses:,既存のお客様のアドレスから選択する:,module,Magento_Sales
Select from the following attribute values for this product. Each unique combination of values creates a unique product SKU.,この商品の以下の属性値から選択してください。 独自の値の組み合わせにより、一意の商品SKUが作成されます。,module,Magento_Swatches
Select options for all attributes or remove unused attributes.,全ての属性のオプションを選択するか使われてない属性を削除してください。,module,Magento_ConfigurableProduct
Select products you want to buy,購入する商品を選択してください,,
Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.,これを選択すると、DHLは注文が%1 %2を超えた場合、注文を分割して配送料を最適化することができます。,module,Magento_Dhl
Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.,70kgを超える場合、DHLが注文を分割して配送料を最適化することを許可する場合に選択します。,module,Magento_Dhl
Select type of option.,オプションのタイプを選択してください。,module,Magento_Catalog
Select type options required values rows.,価格の列を要求されたタイプオプションを選択,module,Magento_Catalog
Select...,選択...,module,Magento_Braintree
Selected,選択済み,module,Magento_Backend
Selected Attributes:,選択された属性:,module,Magento_ConfigurableProduct
Selected Only,選択したもののみ,,
"Selected allowed currency ""%1"" is not available in installed currencies.","選択された通貨""%1""はインストールされた通貨内で有効ではありません。",module,Magento_Config
Selected option(s) or their combination is not currently available.,選択したオプションまたはオプションの組み合わせは現在利用できません。,module,Magento_Quote
Send,送信,,
Send At,送信日時,,
Send Check to,小切手の宛先,module,Magento_OfflinePayments
Send Check to:,小切手の宛先を指定:,module,Magento_OfflinePayments
Send Count,カウント送信,module,Magento_Catalog
Send Credit Memo Comment Email Copy To,クレジットメモコメントメールのコピー送信先,module,Magento_Sales
Send Credit Memo Comments Email Copy Method,クレジットメモコメントコピーメール送信方法,module,Magento_Sales
Send Credit Memo Email Copy Method,クレジットメモコピーメール送信方法,module,Magento_Sales
Send Credit Memo Email Copy To,クレジットメモのメールのコピー送信先,module,Magento_Sales
Send Email,メール送信,module,Magento_Sales
Send Email Confirmation,メール確認を送る,module,Magento_Paypal
Send Email Notification From the Following Store View,以下のストアビューからメール通知を送信,,
Send Email from the Following Store View,以下のストアビューからメールを送信,,
Send Emails To,Emailを次のアドレスに送信,module,Magento_Contact
Send Failed Email Copy Method,失敗メールの複製送信メソッド,,
Send Failed Email Copy To,失敗メールの複製送信先,,
Send From,送信元,,
Send Gift Card,ギフトカード送信,,
Send Gift Receipt,ギフトレシートを送信,,
Send Invitation,招待メールを送信,,
Send Invitations,招待メールを送信,,
Send Invoice Comment Email Copy To,請求書コメントメールのコピー送信先,module,Magento_Sales
Send Invoice Comments Email Copy Method,請求書コメントコピーメール送信方法,module,Magento_Sales
Send Invoice Email Copy Method,請求書コピーメール送信方法,module,Magento_Sales
Send Invoice Email Copy To,請求書メールのコピー送信先,module,Magento_Sales
Send Order Comment Email Copy To,注文コメントメールのコピー送信先,module,Magento_Sales
Send Order Comments Email Copy Method,注文コメントコピーメール送信方法,module,Magento_Sales
Send Order Email,注文電子メールを送信する,module,Magento_Sales
Send Order Email Copy Method,オーダーメールコピー送信方法,module,Magento_Sales
Send Order Email Copy To,注文メールのコピー送信先,module,Magento_Sales
Send Payment Failed Email Copy Method,支払失敗コピーメール送信方法,module,Magento_Checkout
Send Payment Failed Email Copy To,支払失敗コピーメール送信先,module,Magento_Checkout
Send RMA Authorization Email Copy Method,RMA承認コピーメール送信方法,,
Send RMA Authorization Email Copy To,RMA承認メールコピー送信先,,
Send RMA Comment Email Copy To,RMAコメントコピーメール送信先,,
Send RMA Email Copy Method,RMAコピーメール送信方法,,
Send RMA Email Copy To,RMAコピーメール送信先,,
Send Sales Emails,販売メールを送る,module,Magento_Sales
Send Selected,選択したものを送信,,
Send Shipment Comment Email Copy To,配送メールコピー送信先,module,Magento_Sales
Send Shipment Comments Email Copy Method,配送コメントコピーメール送信方法,module,Magento_Sales
Send Shipment Email Copy Method,配送コピーメール送信方法,module,Magento_Sales
Send Shipment Email Copy To,配送メールコピー送信先,module,Magento_Sales
Send To,配送先,module,Magento_Multishipping
Send Tracking Information,トラッキング情報を送信,module,Magento_Shipping
Send Welcome Email From,歓迎メールの送信元,module,Magento_Customer
Send confirmation link,確認リンクを送信する,module,Magento_Customer
Send this invitation now and earn %s when your invitee signs up on our site.,今すぐこの招待状を送信し、招待された人が当サイトにサインアップするときに %s を獲得してください。,,
Send to Google,Google に送信,,
Sender,送信者,module,Magento_Newsletter
Sender Email,送信者メールアドレス,module,Magento_Backend
Sender Name,送信者名,module,Magento_Backend
Sending,送信中,module,Magento_Customer
Sent,送信済,module,Magento_Customer
Separate Email,分割メール,module,Magento_Config
"Separate by "","".",""",""で区切られた",module,Magento_Checkout
Separately,別々,module,Magento_Bundle
Server Type,サーバタイプ,,
Server side less compilation,サーバーサイドlessコンパイル,module,Magento_Developer
Service,サービス,module,Magento_Directory
Service type does not match,サービスタイプが一致しません,module,Magento_Usps
Service unavailable: %1,サービス無効: %1,module,Magento_Backend
Services,サービス,module,Magento_Backend
Session Validation Settings,セッション設定確認,module,Magento_Backend
Set,セット,module,Magento_Catalog
Set Ascending Direction,昇順,module,Magento_Catalog
Set Descending Direction,降順,module,Magento_Catalog
Set Items' Status to be In Stock When Order is Cancelled,注文がキャンセルされたときにはセット商品の状態を在庫ありにする,module,Magento_CatalogInventory
Set Order Status to Suspected Fraud for CVV,CVVの注文疑惑を疑わしい詐欺に設定する,,
Set Order Status to Suspected Fraud for Postcode AVS,郵便番号AVSの疑わしい詐欺に注文ステータスを設定する,,
Set Product as New,新しい商品として設定する,,
Set Product as New From,商品を新しいものから設定する,module,Magento_Catalog
Set Return-Path,Return-Pathを設定する,module,Magento_Backend
Set a New Password,新規パスワードセット,module,Magento_Customer
Set as Default,標準にする,module,Magento_Backend
Set order for existing transactions not allowed,既に存在するトランザクションを使用して注文することは許可されていません。,module,Magento_Sales
Set the number of links to display at one time.,一度に表示するリンク数を設定します。,,
Set this value equal or greater to your Magento cron job launch period.,この値をMagento cronジョブの起動時間以上に設定します。,,
Settings,設定,module,Magento_Backend
Settlement Batch ID,決済バッチID,module,Magento_Braintree
Settlement Code,決済コード,module,Magento_Braintree
Settlement Consolidation,一括決済,module,Magento_Paypal
Settlement Report Settings,決済レポート設定,module,Magento_Paypal
Settlement Response Text,決済応答テキスト,module,Magento_Braintree
Settlement of a chargeback.,入金取り消しの決済,module,Magento_Paypal
Severity,重要度,module,Magento_AdminNotification
Share,共有,,
Share '%1' Gift Registry,共有  '%1' ギフトレジストリ,,
Share Customer Accounts,会員アカウントを共有,module,Magento_Customer
Share Gift Registry,ギフトレジストリを共有,,
Share Options,共有オプション,module,Magento_Wishlist
Share Preview Link,プレビューリンクの共有,,
Share Wish List,欲しい物リストを共有,module,Magento_Wishlist
Shareable,共有可能,module,Magento_Downloadable
Sharing,共有,,
Sharing Information,共有している情報,module,Magento_Wishlist
Ship,配送,module,Magento_Sales
Ship Bundle Items,セット商品の配送方法,module,Magento_Bundle
Ship Date,発送日,module,Magento_Sales
Ship From,配送元,,
Ship Here,出荷はこちら,module,Magento_Checkout
Ship here,出荷はこちら,module,Magento_Checkout
Ship To,配送先,module,Magento_Paypal
Ship To:,配送先:,module,Magento_Checkout
Ship to Applicable Countries,利用可能な国にのみ配送する,module,Magento_Dhl
Ship to Multiple Addresses,複数の住所へ送る,module,Magento_Multishipping
Ship to Recipient Address,受信者住所に配送する,,
Ship to Specific Countries,特定の国にのみ配送する,module,Magento_Dhl
Ship to registrant's address,登録者の住所に配送する,,
Ship to the recipient's address.,受取人の住所に配送する,,
Ship to:,配送先:,module,Magento_Checkout
Ship-to Name,送り先名,module,Magento_Customer
Shipment,配送,module,Magento_Sales
Shipment #,配送番号,module,Magento_Shipping
Shipment #%1,送料 #%1,module,Magento_Sales
Shipment #%1 comment added,送料 #%1 コメント追加されました,module,Magento_Sales
Shipment #%1 created,送料 #%1 作製されました,module,Magento_Sales
Shipment #%1 | %3 (%2),発送 #%1 | %3 (%2),module,Magento_Shipping
Shipment Comment Email Sender,配送コメントメール送信者,module,Magento_Sales
Shipment Comment Email Template,配送コメントメールテンプレート,module,Magento_Sales
Shipment Comment Email Template for Guest,ゲスト用の配送コメントメールテンプレート,module,Magento_Sales
Shipment Comments,配送コメント,module,Magento_Sales
Shipment Email Sender,配送メール送信者,module,Magento_Sales
Shipment Email Template,配送メールテンプレート,module,Magento_Sales
Shipment Email Template for Guest,ゲスト用の配送メールテンプレート,module,Magento_Sales
Shipment History,配送履歴,module,Magento_Shipping
Shipment Options,発送オプション,module,Magento_Shipping
Shipment Total,発送合計,module,Magento_Shipping
Shipment does not exists.,出荷は存在しません。,,
Shipments,配送,module,Magento_Sales
